SITE_ID,NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
309,Charles Fort,Fort Charles,<Null>,Fort Anne NHSC,Annapolis Royal,Nova Scotia,"Built by the son of Sir William Alexander, 1629-31 (formerly Scots Fort)",Emplacement de l'établissement créé par le fils de sir William Alexander (1629-1631) (ancienne appelé fort Scots),44.740812,-65.520246
211,Charlotte County Court House,Palais de justice du comté de Charlotte,123A Frederick Street,<Null>,Saint Andrews,New Brunswick,Fine early example of Maritime court house,Beau spécimen ancien des palais de justice des Maritimes,45.07553,-67.049422
583,Charlottetown City Hall,Hôtel de ville de Charlottetown,100 Queen Street,on wall facing Queen St.,Charlottetown,Prince Edward Island,"Oldest municipal hall in Prince Edward Island, 1888",Le plus vieil hôtel de ville de l'île-du-Prince-Édouard; construit en 1888,46.235327,-63.129249
652,Château De Ramezay / India House,Château De Ramezay / maison des Indes,280 Notre-dame Street East,<Null>,Montréal,Quebec,"Built by Claude de Ramezay, Governor of Montréal, 1705","Édifice construit en 1705 par Claude de Ramezay, gouverneur de Montréal",45.508734,-73.553201
685,Château Frontenac,Château Frontenac,1 des Carrières Street,<Null>,Québec,Quebec,"Landmark Château style railway hotel, 1892-93",Hôtel de société ferroviaire de style Château; monument de la ville de Québec (1892-93),46.812095,-71.204538
459,Château Laurier,Château Laurier,1 Rideau Street,<Null>,Ottawa,Ontario,"Château style railway hotel, 1908-12","Hôtel de société ferroviaire construit, architecture de style Château; construit 1908-1912",45.425619,-75.695262
2205,Chee Kung Tong Building,Édifice Chee Kung Tong,<Null>,<Null>,Barkerville,British Columbia,Rare surviving example of Chee Kung Tong architecture; venue for dealing with the affairs of the Chinese community,Un des rares exemples d'édifices Chee Kung Tong encore présents au Canada; l'endroit d'où la société Chee Kung Tong gouvernait les affaires de la communauté chinoise du district de Cariboo,53.065333,-121.518667
521,Chiefswood,Chiefswood,Highway 54,<Null>,Six Nations Grand River Reserve,Ontario,"Italianate style birthplace of poet E. Pauline Johnson, 1853-56",Maison natale de la poétesse E. Pauline Johnson; style à l'italienne (1853-1856),43.0995,-80.0952
50,Chilkoot Trail,Piste Chilkoot,<Null>,<Null>,Chilkoot,British Columbia,Transportation route to Klondike gold fields,Voie qui conduisait aux gisements aurifères du Klondike,59.767291,-135.110395
51,Chilliwack City Hall,Hôtel de ville de Chilliwack,45820 Spadina Avenue,Chilliwack Museum - on wall left of entrance,Chilliwack,British Columbia,"Attractive concrete civic building, 1912",Édifice public en béton de belle apparence construit en 1912,49.169057,-121.956528
864,Chinese Cemetery at Harling Point,Cimetière chinois de Harling Point,Crescent Rd. & Penzance St.,<Null>,Oak Bay,British Columbia,"Chinese-Canadian cemetery with significant pre-1950 mortuary features, distinctive plan and application of Feng Shui","Cimetière chinois canadien doté d'éléments mortuaires d'avant 1950, suit un plan distinct et démontre l'application du «Feng Shui»",48.40773,-123.32352
839,Christ Church,Église Christ Church,681 Fraser Street at Park Street,<Null>,Hope,British Columbia,"Fine, early Ecclesiological Gothic Revival church, 1861",Bon exemple d'église de style néo-gothique primitif religieux (1861),49.38083,-121.44427
236,Christ Church / Quidi Vidi Church,Christ Church / église de Quidi Vidi,100 The Boulevard,<Null>,St. John's,Newfoundland and Labrador,"Early 19th-century outport village church, 1842",Vieille église représentative de l'architecture des villages isolés de Terre-Neuve au XIXe siècle (1842),47.58275,-52.678736
186,Christ Church Anglican,Église anglicane Christ Church,<Null>,<Null>,Maugerville,New Brunswick,"Archetypal Gothic Revival parish church, 1856",Archétype d'une église paroissiale de style néo-gothique (1856),45.871322,-66.446481
1906,Christ Church Cathedral,Cathédrale Christ Church,1444 Union Avenue,<Null>,Montréal,Quebec,"Gothic Revival cathedral, 1857-60",Cathédrale néo-gothique (1857-60),45.503729,-73.569837
167,Christ Church Cathedral,Cathédrale Christ church,100 Brunswick Street at Church Street,"Just west of the church, on the grounds along Church Street",Fredericton,New Brunswick,"Exceptional example of Gothic Revival style, built in 1845",Exemple exceptionnel du style néo-gothique construit en 1845,45.957491,-66.635251
857,"Christ Church, Her Majesty's Chapel Royal of the Mohawk","Christ Church, la chapelle royale de Sa Majesté chez les Mohawks","South Church Road, near Highway 2",<Null>,Tyendinaga Mohawk Territory Indian Reserve,Ontario,"Historic royal chapel linked with establishment of Mohawk Peoples in Ontario, 1843",Chapelle royale historique associée à l'établissement des Agniers en Ontario (1843),44.185533,-77.073633
2009,Church of Notre-Dame-de-la-Défense,Église Notre-Dame-de-la-Défense,6800 Henri-Julien Avenue,<Null>,Montréal,Quebec,Serves the oldest Italian community in Canada,Dessert la plus vieille communauté italienne au Canada,45.534963,-73.611266
2082,Church of Notre-Dame-de-la-Présentation,Église Notre-Dame-de-la-Présentation,"835, 2nd Avenue",<Null>,Shawinigan,Quebec,"Interior decorative program is a masterpiece of an outstanding Quebec painter and pre-eminent liturgical artist, Ozias Leduc","Le programme décoratif intérieur est un chef-d'œuvre d'un peintre québécois exceptionnel et d'un très grand artiste religieux, Ozias Leduc",46.527592,-72.749895
328,Church of Our Lady of Good Hope,Église Notre-Dame-de-Bonne-Espérance,<Null>,<Null>,Fort Good Hope,Northwest Territories,"Early northern Oblate mission church, outstanding interior decoration, Gothic Revival style, 1865-85",Vieille église de mission établie dans le Nord par les Oblats; décoration intérieure magnifique (1865-85),66.251894,-128.644044
91,Church of Our Lord,Church of Our Lord,626 Blanshard Street,<Null>,Victoria,British Columbia,Fine example of Carpenter's Gothic Revival on the West Coast,"Bel exemple du néo-gothique à la manière Carpenter, côte Ouest",48.42045,-123.36408
2134,Church of Sainte-Marie,Église Sainte-Marie,60 Notre-Dame South,<Null>,Sainte-Marie,Quebec,Distinguished by its impressive interior decoration; a unique interpretation of the Gothic Revival style; 1857-59,Distingue par son impressionnant décor intérieur; interprétation originale du style néogothique; (1857-1859),46.437728,-71.022156
1835,Church of Saint-Léon-de-Westmount,Église Saint-Léon-de-Westmount,4311 Maisonneuve Boulevard West,<Null>,Montréal,Quebec,"Superior example of traditional wet plaster ""Buon"" fresco technique, Guido Nincheri, 1901-03",Décorée selon la technique traditionnelle de la fresque; Guido Nincheri (1901-03),45.485279,-73.591834
75,Church of the Holy Cross,Église Holy Cross,<Null>,<Null>,Skookumchuck Reserve (Skatin) #4,British Columbia,"Fine Carpenter's Gothic Revival mission church, by Salish craftsmen, 1905-08","Église de mission, néo-gothique à la manière Carpenter, œuvre d'artisans salish, 1905-1908",49.938313,-122.410404
115,Churchill Rocket Research Range,Base de lancement de fusées de recherche de Churchill,<Null>,24 km east of Churchill,Churchill,Manitoba,Upper atmosphere research centre,Centre de recherches sur la haute atmosphère,58.734167,-93.820278
371,Claverleigh,Claverleigh,8242 Regional Road # 9,<Null>,Creemore,Ontario,"Gothic Revival villa in wood, 1871",Villa en bois de style néo-gothique construite en 1871,44.32315,-80.151358
833,Claybank Brick Plant,Briqueterie de Claybank,Highway 339 / Claybank Brick Plant Road,<Null>,Claybank,Saskatchewan,Important early 20th-century brick making complex,Important complexe de fabrication de briques du début du XXe siècle,50.03077,-105.219453
499,Cliff Site,Site de la falaise,21 Brown Street near Highway 6,<Null>,Port Dover,Ontario,"First French claim to region (de Casson and de Galinée), 1670","Endroit où les Français (de Casson et de Galinée) ont pour la première fois revendiqué la possession de cette région, 1670",42.785702,-80.195958
2002,Cobalt Mining District,Arrondissement de l'exploitation minière de Cobalt,<Null>,<Null>,Cobalt,Ontario,Hard rock mining cultural landscape of the early 20th-century,Paysage culturel d'une exploitation minière en roche dure du début du XXe siècle,47.395583,-79.685667
1986,Coleman,Coleman,18th Avenue and 77th Street,Crowsnest Museum,Coleman,Alberta,Coal mining landscape illustrating important aspects of mining culture,Paysage minier représentant différents aspects de l'exploitation d'une mine de charbon,49.634709,-114.502843
1971,College Building,College Building,<Null>,<Null>,Saskatoon,Saskatchewan,Main component of an excellent example of university buildings in the College Gothic Style in Canada,Principale composante du plus bel ensemble d'édifices universitaires de style gothique collégial au Canada,52.130712,-106.632667
225,Colony of Avalon,Colonie d'Avalon,<Null>,near the entrance to The Downs,Ferryland,Newfoundland and Labrador,"First English settlement in Canada, 1621","Emplacement du premier établissement anglais au Canada, 1621",47.023962,-52.884294
138,Confederation Building,Édifice Confédération,457 Main Street,left corner of façade,Winnipeg,Manitoba,"Landmark Winnipeg steel-framed skyscraper, 1912","Important gratte-ciel à charpente d'acier de Winnipeg, 1912",49.8989,-97.138683
2029,Confederation Centre of the Arts,Centre des arts de la Confédération,145 Richmond Street,on stone brick cairn facing Queen St.,Charlottetown,Prince Edward Island,"Outstanding example of a national institution dedicated to the performing arts; distinguished example of ""Brutalist"" architecture in Canada",Exemple remarquable d'établissement national consacré aux arts de la scène; spécimen de premier ordre de l'architecture «brutaliste» au Canada,46.23363,-63.12718
832,Confederation Square,Place de la Confédération,<Null>,<Null>,Ottawa,Ontario,Rare instance in Canada of a large-scale downtown development following the planning tenets of the City Beautiful movement,Un des rares grands secteurs de centre-ville au Canada à avoir été aménagé selon les principes du mouvement City Beautiful,45.424076,-75.69552
92,Congregation Emanu-el Temple,Synagogue de la congrégation Emanu-el,"1461 Blanshard Street, corner of Pandora Street",<Null>,Victoria,British Columbia,"Oldest surviving synagogue in Canada, built in 1863",La plus ancienne synagogue à subsister au Canada; construite en 1863,48.42732,-123.36157
461,Connaught Building,Édifice Connaught,559 Mackenzie Avenue,<Null>,Ottawa,Ontario,"Tudor Revival style, 1913-16",Exemple du style néo-gothique d'inspiration Tudor (1913-1916),45.42666,-75.694834
215,Connell House,Maison Connell,128 Connell Street,Mounted on concrete monument,Woodstock,New Brunswick,"Greek Revival style residence of Charles Connell, lumber merchant and politician; circa 1840","Résidence dans le style néo-grec de Charles Connell, négociant en bois de construction et homme politique; vers 1840",46.150726,-67.575162
855,Corossol,Corossol,<Null>,<Null>,Sept-Îles,Quebec,17th-century vaisseau du Roi wreck,Épave du XVIIe siècle d'un vaisseau du roi,50.098333,-66.3835
618,Coteau-du-Lac,Coteau-du-Lac,308A River Road,<Null>,Coteau-du-Lac,Quebec,18th-century transportation and defence structures,Ouvrages de transport fluvial et de défense; XVIIIe siècle,45.287624,-74.177615
270,Covenanters' Church,Église des covenantaires,1989 Grand-Pré Road,low cairn beside church,Grand Pré,Nova Scotia,"Historic Presbyterian meeting house, circa 1804-11",Temple presbytérien historique construit à une époque qui se situe entre 1804 et 1811,45.099834,-64.304719
491,Cox Terrace,Cox Terrace,332-344 Rubidge Street,between sidewalk and groundfloor businesses,Peterborough,Ontario,"Second Empire style brick row housing, 1884","Maison en brique Second Empire du type maison en rangée, 1884",44.303567,-78.326567
93,Craigdarroch,Craigdarroch,1050 Joan Crescent,<Null>,Victoria,British Columbia,"Baronial sandstone mansion of Robert Dunsmuir, 1887-90",Grande maison en grès empreinte de noblesse ayant appartenu à Robert Dunsmuir (1887-1890),48.422817,-123.343517
94,Craigflower Manor House,Manoir Craigflower,110 Island Highway,<Null>,Victoria,British Columbia,"Fine example of an agricultural settlement company residence, 1853-56",Bel exemple d'une résidence ayant appartenu à une compagnie de colonisation agricole (1853-1856 ),48.452105,-123.424845
95,Craigflower Schoolhouse,École Craigflower,2765 Admirals Road,<Null>,Victoria,British Columbia,"Oldest surviving school building in western Canada, built 1854-55","La plus ancienne école encore debout de l'Ouest canadien, bâti en 1854-1855",48.452867,-123.42165
2293,Crow's Nest Officers' Club,Club des officiers Crow's Nest,88 Water Street,<Null>,St. John's,Newfoundland and Labrador,Brought together officers from all the nations involved in this gruelling theatre of war,"Dans un bel esprit de camaraderie, des officiers de toutes les nations engagées sur cet âpre théâtre de guerre",47.567701,-52.703201
745,Cumberland House,Cumberland House,<Null>,<Null>,Cumberland House,Saskatchewan,"Hudson's Bay Company post established by Samuel Hearne, 1774",Poste de la Compagnie de la Baie d'Hudson établi en 1774 par S. Hearne,53.957495,-102.267539
532,Cummins Pre-contact Site,Site archéologique Cummins,Mapleward Road,<Null>,Thunder Bay,Ontario,"Extensive late Palaeo-Indian stone quarry, most significant and representative littoral site of the Lakehead Complex",Vaste carrière de la dernière période paléoindienne; le site de rivage le plus important et le plus représentatif du complexe archéologique Lakehead,48.405034,-89.355417
1651,Cypress Hills Massacre,Massacre de Cypress Hills,<Null>,1.5 km south of Fort Walsh National Historic Site of Canada,Merryflat,Saskatchewan,"1873 attack on Nakoda (Assiniboine First Nation) by wolf hunters, North West Mounted Police restored order","Attaque, en 1873, d'Assiniboines par des chasseurs de loup, la Police montée du Nord-Ouest",49.551067,-109.869112
140,Dalnavert,Dalnavert,61 Carlton Street,Mounted on a wall located north side of house,Winnipeg,Manitoba,"Queen Anne Revival home of Hugh John Macdonald, 1895",Maison de style néo-Queen Anne de Hugh John Macdonald (1895),49.885617,-97.1427
590,Dalvay-by-the-Sea,Dalvay-by-the-Sea,Route 6,on a brick pedestal,Prince Edward Island National Park of Canada,Prince Edward Island,"Queen Anne Revival summer home, 1896-99",Hôtel de villégiature estivale construit entre 1896-1899; style néo-Queen Anne,46.414762,-63.073394
278,D'Anville's Encampment,Encampement d'Anville,Bedford Highway,Rockingham Centennial Park,Halifax,Nova Scotia,"Encampment of failed French expedition to recover Acadia, 1746","Campement en expédition française échouée pour récupérer l'Acadia, 1746",44.674691,-63.646597
513,Darlingside,Darlingside,Along the Thousands Island Parkway,<Null>,Rockport,Ontario,"Wood depot on St. Lawrence River, 1840",Dépôt de bois sur le Saint-Laurent (1840),44.36838,-75.969317
643,Davie Shipyard,Chantier Davie,Saint-Laurent Street,<Null>,Lévis,Quebec,Historic Canadian shipyard established 1829,Chantier naval historique établi au Canada en 1829,46.814279,-71.1851
781,Dawson Historical Complex,Complexe Historique de Dawson,Third Avenue,Entrance to the Palace Grand Theatre,Dawson,Yukon Territory,Important collection of buildings from the Klondike Gold Rush,Importante collection de bâtiments datant de l'époque de la ruée vers l'or du Klondike,64.063319,-139.430867
609,de Salaberry House,Maison de Salaberry,18 Richelieu Street,<Null>,Chambly,Quebec,"Palladian style manor of Charles-Michel d'Irumberry de Salaberry, hero of War of 1812",Manoir de style palladien d'un héros de la guerre de 1812; Charles-Michel d'Irumberry de Salaberry,45.448553,-73.269214
266,Debert Palaeo-Indian Site,Site paléo autochtone Debert,<Null>,<Null>,Debert,Nova Scotia,Excellent example of a Palaeo-Indian habitation site; archaeological remains of aboriginal caribou hunting,Un excellent exemple des lieux d'habitation paléo-indiens; vestiges archéologiques de la chasse au caribou pratiquée par les Autochtones,45.418808,-63.41614
1840,Déline Fishery / Franklin's Fort,Pêches dénées / vestiges du fort Franklin,<Null>,<Null>,Déline,Northwest Territories,Wintering quarters of Sir John Franklin and his second expedition,Lieu d'hivernage de sir John Franklin et des membres de sa deuxième expédition,65.189879,-123.441323
819,Denys Fort / Habitation,Fort / habitation de Denys,<Null>,<Null>,Shippegan,New Brunswick,17th-century French trading post,Poste de traite français du XVIIe siècle,47.880044,-64.588508
834,Diefenbunker / Central Emergency Government Headquarters,Diefenbunker / siège central du gouvernement d'urgence,3911 Carp Road,next to Guard House,Carp,Ontario,"Cold War bunker, symbol of nuclear deterrence strategy","Abri de la guerre froide, symbole de la stratégie de dissuasion nucléaire",45.351144,-76.046927
1868,Discovery Claim (Claim 37903),Concession de la découverte (Concession no 37903),<Null>,<Null>,Bonanza Creek,Yukon Territory,Discovery of gold in 1896; marks the beginning of the development of the Yukon,"Endroit où on a trouvé de l'or en 1896; marque le début de développement du Yukon	",63.927621,-139.324391
2265,Dominion Astrophysical Observatory (B.C.),Observatoire fédéral d'astrophysique (C.-B.),5071 West Saanich Road,<Null>,Victoria,British Columbia,"World-renowned observatory where many discoveries about the nature of the Milky Way galaxy were made, using the observatory's 1.83-metre reflecting telescope and spectroscopes","Observatoire de renommée mondiale qui a été le cadre de nombreuses découvertes sur la Voie lactée, grâce à son télescope de 1,83 mètre et à ses spectroscopes",48.519741,-123.418272
1886,Dominion Exhibition Display Building Nº 2,Pavillon nº2 de l'Exposition du Dominion,1206 13th Street,Provincial Exhibition Grounds,Brandon,Manitoba,"Sole survivor of buildings constructed for Dominion Exhibition, held annually from 1879-1912",Dernier bâtiment à subsister parmi ceux construits pour l'Exposition du Dominion qui s'est tenue annuellement de 1879 à 1912,49.83143,-99.9575
366,Donaldson Site,Site Donaldson,<Null>,<Null>,Chippawa Hill,Ontario,"Aboriginal site, 500 BC - 300 AD","Site autochtone, de l'an 500 avant J.-C. à l'an 300 après J.-C.",44.505756,-81.334042
2226,Doukhobor Dugout House,Maison semi-enterrée des doukhobors,"near Highway 12, Petrofka Road",<Null>,Blaine Lake,Saskatchewan,"Only known partially surviving example of a practical and temporary form of shelter constructed not only by Doukhobors, but also by many settlers of various ethnic backgrounds","Elle est, à ce qu'on sache, le dernier spécimen encore partiellement intact d'une forme pratique d'abris provisoires construits non seulement par les doukhobors",52.751015,-106.723849
859,Doukhobor Suspension Bridge,Pont suspendu Doukhobor,<Null>,<Null>,Castlegar,British Columbia,Doukhobor-built bridge; symbol of Doukhobor culture,Pont construit par les Doukhobors; symbole de la culture doukhobor,49.316707,-117.629232
2130,Doukhobors at Veregin,Doukhobors à Veregin,1 Ave S,<Null>,Veregin,Saskatchewan,"Administrative, distribution and spiritual centre for the region during the first period of Doukhobor settlement in Canada, founded 1904",Centre de distribution ainsi que le centre administratif et spirituel de la région pendant la première phase de l'établissement des doukhobors au Canada,51.581713,-102.084097
774,Dredge No. 4,Drague Numéro Quatre,<Null>,<Null>,Bonanza Creek,Yukon Territory,Symbolizes importance of dredging operations (1899-1966) with the evolution of gold mining in the Klondike,Symbolise l'importance des opérations de dragage (1899-1966) avec l'évolution des techniques d'exploitation aurifère au Klondike,63.943943,-139.336161
2184,Droulers-Tsiionhiakwatha,Droulers-Tsiionhiakwatha,1800 Leahy Road,<Null>,Saint-Anicet,Quebec,Most important and best-preserved known site associated with the St. Lawrence Iroquoian people in Canada,Plus important et le mieux conservé des sites connus associés aux Iroquoiens du Saint-Laurent au Canada,45.082533,-74.314204
584,Dundas Terrace,Dundas Terrace,2-6 Water Street (at Haviland St.),<Null>,Charlottetown,Prince Edward Island,"Queen Anne Revival apartment building, 1889",Immeuble résidentiel de style néo-Queen Anne construit en 1889,46.230096,-63.127649
386,Dundurn Castle,Château Dundurn,610 York Street,<Null>,Hamilton,Ontario,"Picturesque villa of magnate Sir Allan Napier Macnab, 1835","Villa de sir Allan Napier Macnab, 1835, personnage riche et célèbre; architecture Pittoresque",43.269219,-79.884859
150,Early Skyscrapers in Winnipeg,Gratte-ciel de Winnipeg,Main Street and McDermot Avenue,<Null>,Winnipeg,Manitoba,Significant grouping of early high-rise buildings,Important ensemble de vieux immeubles de grande hauteur,49.896868,-97.139199
464,Earnscliffe,Earnscliffe,140 Sussex Drive,<Null>,Ottawa,Ontario,"Longtime Ottawa home of Sir John A. Macdonald, Prime Minister of Canada (1867-73, 1878-91), built 1855-57","Pendant longtemps la résidence de sir John A. Macdonald à Ottawa, premier ministre du Canada (1867-1873, 1878-1891) construit en 1855-1857",45.437392,-75.699031
8,Earthlodge Village,Village à huttes de terre,<Null>,<Null>,"Blackfoot Crossing, Cluny",Alberta,Fortified village built 1740 by an unidentified people originating from the Upper Missouri River area is unique in Canada,Vestiges d'un village autochtone,50.781954,-112.855956
543,Eaton's 7th Floor Auditorium and Round Room,Magasin Eaton - auditorium du septième étage et salle ronde,2 College Street  (444 Yonge Street),<Null>,Toronto,Ontario,"Art Deco style concert hall and restaurant, 1928-31; unique venue for important national and local artistic and cultural events",Salle de concert et restaurant de style Art déco (1928-1931); un lieu de présentation unique pour d'importantes manifestations artistiques et culturelles nationales et locales,43.661045,-79.3835
814,Eglinton Theatre,Théâtre Eglinton,400 Eglinton Avenue West,<Null>,Toronto,Ontario,Fine Art Deco suburban cinema,Belle salle de cinéma Art déco de la région suburbaine,43.704427,-79.410681
2010,Ehdaa,Ehdaa,<Null>,<Null>,Fort Simpson,Northwest Territories,Traditional gathering site for the Dene,Un lieu de rassemblement traditionnel pour les Dénés,61.857776,-121.34173
544,Elgin and Winter Garden Theatres,Théâtres Elgin et Winter Garden,189 Yonge Street,Mounted inside on wall of second floor lobby,Toronto,Ontario,"Unique double-decker vaudeville and movie complex, 1911","Ensemble unique à 2 niveaux comprenant une salle de cinéma et un théâtre de variétés, 1911",43.653093,-79.379004
397,Elizabeth Cottage,Villa Elizabeth,251 Brock Street,<Null>,Kingston,Ontario,"Gothic Revival villa, 1841-43",Villa de style néo-gothique (1841-1843),44.23185,-76.488983
90,Emily Carr House,Maison Emily Carr,207 Government Street,<Null>,Victoria,British Columbia,"Birthplace of Emily Carr, early West Coast Italianate, 1863-64",Maison natale d'Emily Carr; vieille maison à l'italienne de la côte Ouest (1863-1864),48.413861,-123.370091
96,Empress Hotel,Hôtel Empress,721 Government Street,Mounted on outside wall at entrance,Victoria,British Columbia,"Landmark Château style railway hotel, 1904-08",Célèbre hôtel de style Château édifié par une société ferroviaire (1904-1908),48.421756,-123.368418
339,Erebus and Terror,Erebus et Terror,<Null>,<Null>,"Erebus Bay, King William Island",Nunavut,"Ships of Franklin's last expedition, 1845","Navires de la dernière expédition de Franklin, 1845",69.299722,-98.916667
2020,Erland Lee (Musem) Home,Maison Musée Erland Lee,552 Ridge Road,<Null>,Stoney Creek,Ontario,Drafting of the constitution of the first Women's Institute,Endroit où a été rédigé l'acte constitutif du premier Institut féminin,43.207,-79.722067
515,Ermatinger House,Maison Ermatinger,831 Queen Street East,Back of property near intersection of St. Thomas and Pim Streets,Sault Ste. Marie,Ontario,"Early northwest Ontario stone fur trade residence, 1814-23",Vieille maison en pierre du Nord-Ouest de l'Ontario; associée au commerce des fourrures (1814-1823),46.505821,-84.324975
1870,Erskine and American United Church,Église Erskine and American (temple de l'église unie),1339 Sherbrooke Street West,<Null>,Montréal,Quebec,"Large Romanesque Revival church with Tiffany stained glass, 1893-94",Grande église de style néo-roman avec vitraux Tiffany (1893-1894),45.499164,-73.57974
97,Esquimalt and Nanaimo Railway Roundhouse,Rotonde du chemin de fer Esquimalt and Nanaimo,251-253 Esquimalt Road,<Null>,Victoria,British Columbia,"Early West Coast railway facility, 1913",Vieux bâtiment ferroviaire de la côte Ouest (1913),48.42895,-123.380633
867,Esquimalt Naval Sites,Sites navals d'Esquimalt,<Null>,North corner of CFB Esquimalt Naval & Military Museum parking lot,Esquimalt,British Columbia,Historic naval district with significant built resources,Arrondissement naval historique composé d'importantes ressources bâties,48.436283,-123.420983
2021,Estate of the Lieutenant Governor of British Columbia,Domaine du Lieutenant Gouverneur de la Colombie-Britannique,1401 Rockland Avenue,<Null>,Victoria,British Columbia,Cultural landscape; served as the residence of the Governors and Lieutenant Governors of the province,Paysage culturel; lieu de résidence des gouverneurs et lieutenants-gouverneurs de la province,48.418479,-123.342575
2240,Esterhazy Flour Mill,Minoterie Esterhazy,517 Smith Dorrien Avenue,<Null>,Esterhazy,Saskatchewan,Rare and complete illustration of a period of flour milling technology that was crucial to the grain industry; 1904-07,Spécimen rare ayant été préservé dans son intégrité représente une période de la technologie meunière qui a été d'une importance cruciale pour l'industrie céréalière; (1904-1907),50.65219,-102.0801
373,Etharita Site,Site Etharita,<Null>,<Null>,Duntroon,Ontario,"Main village of Wolf Tribe of Petun, 1647-49",Village principal de la tribu des Loups (Petuns) (1647-1649),44.416288,-80.212634
649,Étienne-Paschal Taché House,Maison Étienne-Paschal-Taché,37 Sainte-Marie Avenue,<Null>,Montmagny,Quebec,"Eclectic home of Father of Confederation, Sir Étienne-Paschal Taché","Maison de sir Étienne-Paschal Taché, père de la Confédération; architecture Électique",46.981026,-70.558535
1794,Exchange District,Quartier de la bourse,north of Portage and Main,Old Market Square (King between Bannatyne and William),Winnipeg,Manitoba,"Centre of the grain and wholesale trade, finance and manufacturing between 1880-1900 and also 1900-13","Centre du commerce du grain et de gros, de la finance et de l'industrie manufacturière entre 1880 et 1900 ainsi qu'entre 1900 et 1913",49.898713,-97.140585
356,Fairfield on the Thames,Fairfield sur la Thames,Longwood Raod,<Null>,Moraviantown,Ontario,"Delaware Mission, attacked and destroyed by Americans after their victory at the Battle of the Thames in 1813; War of 1812",Emplacement d'une mission Delaware; détruite en 1813; guerre de 1812,42.586283,-81.9031
585,Fairholm,Fairholm,230 Prince Street (at Fitzroy),<Null>,Charlottetown,Prince Edward Island,Picturesque villa; 1839,Villa Pittoresque; 1839,46.238118,-63.127205
846,Fall Caribou Crossing,Passage de caribous en automne,<Null>,Inuit Heritage Centre,Baker Lake,Nunavut,Critical importance to the historical survival of inuit community,Site de chasse d'automne d'une importance cruciale pour la survie historique de la communauté inuite,63.654963,-96.028491
593,Farmers' Bank of Rustico,Banque des fermiers de Rustico,Church Street,on the Bank Building,South Rustico,Prince Edward Island,"One of first co-operative banks in Canada, 1864","Une des premières banques de crédit populaire au Canada, 1864",46.423282,-63.283333
280,Fernwood,Fernwood,700 Franklyn Street,<Null>,Halifax,Nova Scotia,"Gothic Revival villa, circa 1860",Villa néo-gothique construite vers 1860,44.626752,-63.581968
2283,Finnish Labour Temple,Temple du travail finlandais,314 Bay Street,<Null>,Thunder Bay,Ontario,An architecturally eclectic building built in 1909-10 to serve as a hall for two Finnish organizations; a socialist Local and a temperance society,Édifice à  l'architecture éclectique construit en 1909-1910 pour servir de lieu de rassemblement à deux organismes finlandais; une section locale socialiste et une société de tempérance,48.432361,-89.229968
449,First Commercial Oil Field,Premier champ pétrolifère commercial,<Null>,Community Hall,Oil Springs,Ontario,"First commercial oil well in the world, first drilled well in Canada, first gumbeds that were commercially used in the world, and the first gas gusher in Canada, 1858","Premier puits de pétrole commercial au monde, premier puits foré au Canada, premiers gisements d'ozokérite exploités commercialement au monde et le premier puits de gaz jaillissant au Canada; (1858)",42.772666,-82.121
1563,First Crossing of North America,Première traversée de l'Amérique du Nord,<Null>,near Elcho Harbour,Bella Coola,British Columbia,Alexander Mackenzie reached the Pacific in 1793,Alexander Mackenzie a atteint le Pacifique en 1793,52.378455,-127.471369
633,First Geodetic Survey Station,Première station géodésique,Mont King,<Null>,Kingsmere,Quebec,"Systematic program of surveying, 1905","Programme systématique de levés géodésiques, 1905",45.489047,-75.862573
121,First Homestead in Western Canada,Premier homestead de l'Ouest canadien,"Highway 240, 1 mile north of Hwy 249 junction",<Null>,Portage la Prairie,Manitoba,"1872 homestead, first under new survey system","Emplacement d'un homestead fondé en 1872, le premier à l'être en vertu du nouveau système d'arpentage",50.06245,-98.285633
43,First Oil Well in Western Canada,Premier Puits de Pétrole de l'Ouest-Canadien,Akamina Parkway,"Oil City, 6 km from Waterton Townsite",Waterton Lakes National Park of Canada,Alberta,First commercially productive oil well in the West,Premier puits de pétrole de l'Ouest commercialement rentable,49.070984,-113.986759
98,Fisgard Lighthouse,Phare de Fisgard,603 Fort Rodd Hill Road,Fort Rodd Hill NHSC,Colwood,British Columbia,"First permanent lighthouse on Canada's West Coast, 1859-60",Premier phare élevé en permanence sur la côte Ouest canadienne (1859-1860),48.430393,-123.447441
218,Fleur de Lys Soapstone Quarries,Carrières de pierre à savon Fleur de Lys,"near Highway 410, locality 1",Fleur de Lys Soapstone Quarry locality 1,Fleur de Lys,Newfoundland and Labrador,Important source of information about the stone technology of early Aboriginal societies of Newfoundland,Extraction de la pierre par les Esquimaux du Dorset,50.119673,-56.125276
766,Forestry Farm Park and Zoo,Forestry Farm Park and Zoo,Forest Dr.,<Null>,Saskatoon,Saskatchewan,Important federal contribution to prairie forestation,Importante contribution du gouvernement fédéraux au boisement des Prairies,52.156,-106.584045
