Ref_Date,GEO,PRODUCT,DISAPPEARANCE,Vector,Coordinate,Value
1974,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,133.78
1975,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,119.81
1976,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,115.46
1977,Canada,Butter,Per capita domestic disappearance,v72562,1.3.2,103.04
1920,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,115568
1921,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,109045
1922,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,134637
1923,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,141910
1924,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,145939
1925,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,171830
1926,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,201269
1927,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,164456
1928,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,182583
1929,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,177705
1930,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,185001
1931,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,180616
1932,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,169305
1933,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,179922
1934,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,193035
1935,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,196185
1936,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,197964
1937,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,195332
1938,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,209403
1939,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,211457
1940,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,203250
1941,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,251761
1942,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,222660
1943,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,268751
1944,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,267118
1945,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,298938
1946,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,255366
1947,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,320647
1948,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,252444
1949,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,302839
1950,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,334550
1951,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,342149
1952,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,362978
1953,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,378925
1954,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,406569
1955,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,437579
1956,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,439044
1957,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,480568
1958,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,497747
1959,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,519458
1960,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,546739
1961,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,583284
1962,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,643853
1963,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,676133
1964,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,716637
1965,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,768087
1966,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,780193
1967,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,859959
1968,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,921841
1969,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1020620
1970,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1106435
1971,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1187763
1972,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1248648
1973,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1389685
1974,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1563060
1975,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1563930
1976,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1574798
1977,Canada,Cheese,Total domestic disappearance (kilolitres),v72557,1.4.1,1627131
1920,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,13.51
1921,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,12.41
1922,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,15.1
1923,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,15.75
1924,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,15.96
1925,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,18.49
1926,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,21.3
1927,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,17.07
1928,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,18.56
1929,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,17.72
1930,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,18.12
1931,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,17.41
1932,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,16.11
1933,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,16.92
1934,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,17.97
1935,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,18.09
1936,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,18.08
1937,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,17.69
1938,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,18.78
1939,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,18.77
1940,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,17.86
1941,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,22.06
1942,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,19.44
1943,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,23.38
1944,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,23.13
1945,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,25.66
1946,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,20.84
1947,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,25.55
1948,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,19.69
1949,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,22.67
1950,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,24.4
1951,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,24.42
1952,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,25.11
1953,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,25.52
1954,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,26.59
1955,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,27.88
1956,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,27.3
1957,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,28.93
1958,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,29.14
1959,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,29.71
1960,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,30.59
1961,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,31.98
1962,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,34.65
1963,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,35.65
1964,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,37.08
1965,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,39.03
1966,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,38.91
1967,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,42.07
1968,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,44.38
1969,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,48.4
1970,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,51.69
1971,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,55
1972,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,57.22
1973,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,62.96
1974,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,69.79
1975,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,68.81
1976,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,68.4
1977,Canada,Cheese,Per capita domestic disappearance,v72563,1.4.2,69.78
1920,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,37589
1921,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,39979
1922,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,36282
1923,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,33613
1924,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,38870
1925,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,42294
1926,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,46855
1927,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,56291
1928,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,56557
1929,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,60292
1930,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,63045
1931,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,57148
1932,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,46586
1933,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,46545
1934,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,53481
1935,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,61678
1936,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,73543
1937,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,85058
1938,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,88240
1939,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,107629
1940,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,114614
1941,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,129832
1942,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,177005
1943,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,210795
1944,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,185865
1945,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,193237
1946,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,192264
1947,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,229342
1948,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,241449
1949,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,235706
1950,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,272693
1951,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,285959
1952,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,309687
1953,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,323095
1954,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,326799
1955,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,331280
1956,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,354057
1957,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,354807
1958,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,347025
1959,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,348163
1960,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,366929
1961,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,354718
1962,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,362895
1963,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,373630
1964,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,360900
1965,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,360178
1966,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,350607
1967,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,350018
1968,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,338968
1969,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,314282
1970,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,293190
1971,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,292049
1972,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,281563
1973,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,275567
1974,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,254608
1975,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,237864
1976,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,239346
1977,Canada,Concentrated whole milk products,Total domestic disappearance (kilolitres),v72558,1.5.1,272346
1920,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.39
1921,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.55
1922,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.07
1923,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,3.73
1924,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.25
1925,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.55
1926,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.96
1927,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,5.84
1928,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,5.76
1929,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,6.01
1930,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,6.18
1931,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,5.51
1932,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.43
1933,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.38
1934,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,4.98
1935,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,5.69
1936,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,6.72
1937,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,7.7
1938,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,7.92
1939,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,9.55
1940,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,10.07
1941,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,11.37
1942,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,15.45
1943,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,18.34
1944,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,16.1
1945,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,16.58
1946,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,15.69
1947,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,18.28
1948,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,18.83
1949,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,17.65
1950,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,19.89
1951,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,20.41
1952,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,21.42
1953,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,21.77
1954,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,21.38
1955,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,21.1
1956,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,22.02
1957,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,21.36
1958,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,20.32
1959,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,19.92
1960,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,20.53
1961,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,19.45
1962,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,19.53
1963,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,19.7
1964,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,18.67
1965,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,18.3
1966,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,17.48
1967,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,17.12
1968,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,16.32
1969,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,14.9
1970,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,13.7
1971,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,13.52
1972,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,12.9
1973,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,12.48
1974,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,11.37
1975,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,10.47
1976,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,10.4
1977,Canada,Concentrated whole milk products,Per capita domestic disappearance,v72564,1.5.2,11.68
1920,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,39974
1921,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,37725
1922,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,33157
1923,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,38846
1924,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,38029
1925,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,40805
1926,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,47739
1927,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,51670
1928,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,58999
1929,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,67802
1930,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,67187
1931,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,56985
1932,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,42735
1933,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,39607
1934,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,41441
1935,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,45594
1936,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,57110
1937,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,64328
1938,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,61906
1939,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,62653
1940,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,69492
1941,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,89209
1942,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,95851
1943,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,108547
1944,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,111217
1945,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,102939
1946,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,99646
1947,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,147565
1948,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,158676
1949,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,190912
1950,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,187296
1951,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,200990
1952,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,209839
1953,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,214837
1954,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,213969
1955,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,242262
1956,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,248493
1957,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,262992
1958,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,273843
1959,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,299688
1960,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,306750
1961,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,286352
1962,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,236145
1963,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,219955
1964,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,215823
1965,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,236649
1966,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,280399
1967,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,324406
1968,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,327254
1969,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,350890
1970,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,367789
1971,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,374007
1972,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,391707
1973,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,397954
1974,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,397423
1975,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,412985
1976,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,409769
1977,Canada,Ice cream,Total domestic disappearance (kilolitres),v72559,1.6.1,436170
1920,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,4.67
1921,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,4.29
1922,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,3.72
1923,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,4.31
1924,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,4.16
1925,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,4.39
1926,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,5.05
1927,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,5.36
1928,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,6
1929,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,6.76
1930,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,6.58
1931,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,5.49
1932,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,4.07
1933,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,3.73
1934,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,3.86
1935,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,4.2
1936,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,5.22
1937,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,5.82
1938,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,5.55
1939,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,5.56
1940,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,6.11
1941,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,7.82
1942,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,8.37
1943,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,9.44
1944,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,9.63
1945,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,8.84
1946,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,8.13
1947,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,11.76
1948,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,12.37
1949,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,14.29
1950,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,13.66
1951,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,14.35
1952,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,14.51
1953,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,14.47
1954,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,14
1955,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,15.43
1956,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,15.45
1957,Canada,Ice cream,Per capita domestic disappearance,v72565,1.6.2,15.83
